keyword,post_link,views,date,post_hour
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85524,236901,2024-02-28,06:24:31
#bank,https://t.me/tikvahethiopia/85515,258690,2024-02-27,17:47:25
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85430,264497,2024-02-24,20:26:56
,https://t.me/tikvahethiopia/85407,233551,2024-02-23,20:13:49
#CBE,https://t.me/tikvahethiopia/85379,213285,2024-02-22,13:48:35
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85348,275725,2024-02-21,19:09:42
,https://t.me/tikvahethiopia/85306,251727,2024-02-20,08:39:27
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85247,275991,2024-02-17,17:48:30
#CBE,https://t.me/tikvahethiopia/85187,249735,2024-02-15,15:02:33
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85155,257711,2024-02-14,17:02:08
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/85121,267527,2024-02-13,10:03:18
#CBE,https://t.me/tikvahethiopia/85084,257206,2024-02-11,18:35:04
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/85061,230642,2024-02-10,19:39:41
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/85031,264948,2024-02-09,19:52:24
#CBE,https://t.me/tikvahethiopia/84985,255847,2024-02-08,06:32:27
#CBE,https://t.me/tikvahethiopia/84880,264222,2024-02-04,18:25:44
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84855,263198,2024-02-03,10:39:55
,https://t.me/tikvahethiopia/84836,270257,2024-02-02,07:36:51
#CBE,https://t.me/tikvahethiopia/84798,236348,2024-02-01,11:50:02
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84776,222300,2024-01-31,13:13:35
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/84729,255985,2024-01-30,08:39:40
#CBE,https://t.me/tikvahethiopia/84685,206307,2024-01-28,14:27:14
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84666,202686,2024-01-27,10:02:43
,https://t.me/tikvahethiopia/84630,208697,2024-01-26,07:32:21
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84580,193457,2024-01-24,15:04:06
,https://t.me/tikvahethiopia/84534,257981,2024-01-23,07:22:23
#CBE,https://t.me/tikvahethiopia/84448,194663,2024-01-21,12:00:32
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/84409,231917,2024-01-19,18:32:49
#CBE,https://t.me/tikvahethiopia/84348,226512,2024-01-18,12:27:30
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84309,253750,2024-01-17,09:07:34
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/84279,276759,2024-01-16,14:37:29
#CBE,https://t.me/tikvahethiopia/84259,309661,2024-01-14,16:24:28
"#GBE, #GlobalBankEthiopia",https://t.me/tikvahethiopia/84248,294146,2024-01-13,17:56:46
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/84219,280061,2024-01-12,14:28:38
#CBE,https://t.me/tikvahethiopia/84193,240949,2024-01-11,18:26:08
#GlobalBankEthiopia,https://t.me/tikvahethiopia/84175,300697,2024-01-10,19:14:00
#GlobalBankEthiopia,https://t.me/tikvahethiopia/84053,235824,2024-01-06,20:18:02
#GlobalBankEthiopia,https://t.me/tikvahethiopia/83961,241160,2024-01-03,07:10:19
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/83919,251634,2024-01-02,07:35:27
#CBE,https://t.me/tikvahethiopia/83884,285268,2023-12-31,13:54:28
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/83776,242298,2023-12-26,08:06:21
#CBE,https://t.me/tikvahethiopia/83736,258612,2023-12-24,10:17:31
,https://t.me/tikvahethiopia/83708,243202,2023-12-22,16:51:01
#CBE,https://t.me/tikvahethiopia/83688,265870,2023-12-21,17:58:43
#GlobalBankEthiopia,https://t.me/tikvahethiopia/83678,278011,2023-12-20,18:00:21
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/83647,257993,2023-12-19,08:08:29
#CBE,https://t.me/tikvahethiopia/83590,266580,2023-12-17,10:01:05
,https://t.me/tikvahethiopia/83530,264225,2023-12-15,09:05:02
,https://t.me/tikvahethiopia/83505,257731,2023-12-13,18:59:31
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/83456,271437,2023-12-12,10:26:43
,https://t.me/tikvahethiopia/83378,267046,2023-12-09,09:07:54
,https://t.me/tikvahethiopia/83371,271553,2023-12-08,17:03:35
#CBE,https://t.me/tikvahethiopia/83356,280695,2023-12-07,09:10:30
,https://t.me/tikvahethiopia/83347,257937,2023-12-06,17:53:20
#bank,https://t.me/tikvahethiopia/83248,247995,2023-12-02,09:04:19
#CBE,https://t.me/tikvahethiopia/83207,242555,2023-11-30,19:26:46
,https://t.me/tikvahethiopia/83178,249332,2023-11-29,07:21:12
"#bank, #GBE",https://t.me/tikvahethiopia/83053,283798,2023-11-22,07:38:04
"#bank, #GBE",https://t.me/tikvahethiopia/82802,280085,2023-11-11,10:14:44
,https://t.me/tikvahethiopia/82742,259890,2023-11-08,18:08:02
#GBE,https://t.me/tikvahethiopia/82670,292503,2023-11-04,18:28:57
,https://t.me/tikvahethiopia/82653,263790,2023-11-03,14:25:02
#CBE,https://t.me/tikvahethiopia/82639,294284,2023-11-02,18:08:31
"#bank, #GBE",https://t.me/tikvahethiopia/82626,314418,2023-11-01,06:47:37
,https://t.me/tikvahethiopia/82620,312352,2023-10-31,19:25:14
,https://t.me/tikvahethiopia/82455,286091,2023-10-24,17:20:09
#CBE,https://t.me/tikvahethiopia/82420,292529,2023-10-22,17:08:00
#CBE,https://t.me/tikvahethiopia/82376,267742,2023-10-19,08:35:44
,https://t.me/tikvahethiopia/82345,280813,2023-10-18,07:20:03
,https://t.me/tikvahethiopia/82322,288851,2023-10-17,07:25:35
,https://t.me/tikvahethiopia/82218,301996,2023-10-13,09:40:32
#CBE,https://t.me/tikvahethiopia/82208,304003,2023-10-12,19:10:46
"#bank, #GBE",https://t.me/tikvahethiopia/82193,352067,2023-10-11,17:20:29
#CBE,https://t.me/tikvahethiopia/82000,323273,2023-10-05,13:00:03
,https://t.me/tikvahethiopia/81734,241728,2023-09-26,07:18:52
#CBE,https://t.me/tikvahethiopia/81656,279360,2023-09-21,17:28:22
,https://t.me/tikvahethiopia/81606,259995,2023-09-19,15:53:15
#CBE,https://t.me/tikvahethiopia/81545,273069,2023-09-17,13:09:51
,https://t.me/tikvahethiopia/81502,271063,2023-09-15,12:56:53
#CBE,https://t.me/tikvahethiopia/81488,275644,2023-09-14,12:33:25
#CBE,https://t.me/tikvahethiopia/81393,246634,2023-09-10,11:13:27
,https://t.me/tikvahethiopia/81338,221016,2023-09-08,07:50:44
#CBE,https://t.me/tikvahethiopia/81312,207746,2023-09-07,09:08:16
,https://t.me/tikvahethiopia/81252,257574,2023-09-05,10:19:55
#CBE,https://t.me/tikvahethiopia/81218,251717,2023-09-03,19:21:34
,https://t.me/tikvahethiopia/81165,260522,2023-09-01,07:20:17
#CBE,https://t.me/tikvahethiopia/81157,228413,2023-08-31,17:49:22
,https://t.me/tikvahethiopia/81123,233545,2023-08-29,18:02:21
#CBE,https://t.me/tikvahethiopia/81056,248652,2023-08-27,18:10:48
,https://t.me/tikvahethiopia/80911,178199,2023-08-25,09:04:31
,https://t.me/tikvahethiopia/80796,214220,2023-08-22,11:33:48
#CBE,https://t.me/tikvahethiopia/80733,214578,2023-08-20,16:27:39
,https://t.me/tikvahethiopia/80639,233141,2023-08-18,16:31:28
#CBE,https://t.me/tikvahethiopia/80610,241740,2023-08-17,16:33:45
,https://t.me/tikvahethiopia/80579,232933,2023-08-15,14:21:33
#CBE,https://t.me/tikvahethiopia/80525,221723,2023-08-13,10:02:53
,https://t.me/tikvahethiopia/80469,201341,2023-08-11,09:05:42
#CBE,https://t.me/tikvahethiopia/80451,210003,2023-08-10,17:40:28
,https://t.me/tikvahethiopia/80373,265261,2023-08-08,08:20:18
#CBE,https://t.me/tikvahethiopia/80346,293576,2023-08-06,14:35:47
,https://t.me/tikvahethiopia/80280,257630,2023-08-04,08:08:58
"#bank, #berhanbank",https://t.me/tikvahethiopia/80227,213574,2023-08-02,15:27:51
,https://t.me/tikvahethiopia/80194,228295,2023-08-01,12:51:23
#CBE,https://t.me/tikvahethiopia/80160,284619,2023-07-30,11:43:04
#CBE,https://t.me/tikvahethiopia/80120,272682,2023-07-27,12:17:19
"#bank, #berhanbank",https://t.me/tikvahethiopia/80094,250328,2023-07-26,07:38:42
#CBE,https://t.me/tikvahethiopia/80023,278169,2023-07-23,15:44:34
"#bank, #berhanbank",https://t.me/tikvahethiopia/80010,279151,2023-07-22,20:15:00
,https://t.me/tikvahethiopia/79961,265365,2023-07-21,09:32:16
#CBE,https://t.me/tikvahethiopia/79932,269108,2023-07-20,12:18:53
"#bank, #berhanbank",https://t.me/tikvahethiopia/79903,287533,2023-07-19,16:38:05
,https://t.me/tikvahethiopia/79881,293457,2023-07-18,09:59:52
"#bank, #berhanbank",https://t.me/tikvahethiopia/79806,264705,2023-07-16,06:21:17
,https://t.me/tikvahethiopia/79771,272232,2023-07-14,11:07:04
,https://t.me/tikvahethiopia/79701,246509,2023-07-11,10:38:50
,https://t.me/tikvahethiopia/79555,281308,2023-07-07,13:43:28
,https://t.me/tikvahethiopia/79460,272723,2023-07-04,08:37:10
#Coopbank,https://t.me/tikvahethiopia/79418,276725,2023-07-01,17:54:44
,https://t.me/tikvahethiopia/79386,231107,2023-06-30,16:06:32
#CBE,https://t.me/tikvahethiopia/79338,306016,2023-06-27,18:24:51
,https://t.me/tikvahethiopia/79319,247377,2023-06-27,16:33:33
#Coopbank,https://t.me/tikvahethiopia/79267,259335,2023-06-24,16:24:55
,https://t.me/tikvahethiopia/79240,257117,2023-06-23,10:54:19
,https://t.me/tikvahethiopia/79185,278466,2023-06-20,09:30:39
#Coopbank,https://t.me/tikvahethiopia/79157,252535,2023-06-19,08:59:42
,https://t.me/tikvahethiopia/79097,267888,2023-06-16,05:58:30
,https://t.me/tikvahethiopia/79062,263466,2023-06-13,17:52:53
,https://t.me/tikvahethiopia/78987,275640,2023-06-09,12:15:14
"#bank, #berhanbank",https://t.me/tikvahethiopia/78947,263842,2023-06-07,17:20:31
,https://t.me/tikvahethiopia/78934,282725,2023-06-06,09:31:24
"#bank, #berhanbank",https://t.me/tikvahethiopia/78879,304163,2023-06-03,12:50:27
,https://t.me/tikvahethiopia/78855,297014,2023-06-02,06:41:52
,https://t.me/tikvahethiopia/78788,272999,2023-05-30,10:01:28
,https://t.me/tikvahethiopia/78694,254306,2023-05-26,09:25:50
,https://t.me/tikvahethiopia/78610,251896,2023-05-22,14:32:25
,https://t.me/tikvahethiopia/78544,285113,2023-05-19,07:03:09
#CBE,https://t.me/tikvahethiopia/78531,291612,2023-05-18,05:11:27
,https://t.me/tikvahethiopia/78479,275972,2023-05-15,17:56:33
,https://t.me/tikvahethiopia/78361,264557,2023-05-12,06:50:37
#CBE,https://t.me/tikvahethiopia/78346,229158,2023-05-11,13:53:03
#CBE,https://t.me/tikvahethiopia/78295,266197,2023-05-08,17:20:54
,https://t.me/tikvahethiopia/78292,233472,2023-05-08,17:20:27
#CBE,https://t.me/tikvahethiopia/78269,304035,2023-05-07,09:38:31
,https://t.me/tikvahethiopia/78229,213216,2023-05-05,14:46:17
,https://t.me/tikvahethiopia/78141,258725,2023-05-01,18:15:17
,https://t.me/tikvahethiopia/78112,278463,2023-04-29,10:02:16
,https://t.me/tikvahethiopia/78103,265610,2023-04-28,15:28:49
#CBE,https://t.me/tikvahethiopia/77994,279464,2023-04-23,17:18:19
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/77874,234513,2023-04-18,17:22:12
,https://t.me/tikvahethiopia/77691,247258,2023-04-11,15:02:18
,https://t.me/tikvahethiopia/77588,235897,2023-04-07,14:00:27
,https://t.me/tikvahethiopia/77367,257071,2023-03-28,14:10:06
"#bank, #bankofabyssinia",https://t.me/tikvahethiopia/76994,253280,2023-03-14,17:16:01
,https://t.me/tikvahethiopia/76218,313935,2023-02-02,11:51:05
,https://t.me/tikvahethiopia/76196,302147,2023-02-01,06:01:51
,https://t.me/tikvahethiopia/76193,356196,2023-01-31,17:32:27
,https://t.me/tikvahethiopia/76186,365370,2023-01-30,11:00:01
,https://t.me/tikvahethiopia/76176,347725,2023-01-28,17:28:59
,https://t.me/tikvahethiopia/76089,129464,2023-01-26,06:49:54
,https://t.me/tikvahethiopia/76075,299132,2023-01-25,08:38:24
,https://t.me/tikvahethiopia/76064,273388,2023-01-24,11:14:12
,https://t.me/tikvahethiopia/76007,133825,2023-01-23,06:30:47
,https://t.me/tikvahethiopia/75999,297885,2023-01-22,13:31:36
,https://t.me/tikvahethiopia/75991,60765,2023-01-22,06:29:34
,https://t.me/tikvahethiopia/75983,118529,2023-01-21,06:53:19
,https://t.me/tikvahethiopia/75961,554119,2023-01-20,06:55:11
,https://t.me/tikvahethiopia/75848,276062,2023-01-14,16:15:16
,https://t.me/tikvahethiopia/75829,251027,2023-01-13,16:02:56
,https://t.me/tikvahethiopia/75764,215046,2023-01-11,14:55:14
#GlobalBankEthiopia,https://t.me/tikvahethiopia/75185,341293,2022-12-17,18:49:22
,https://t.me/tikvahethiopia/74966,268115,2022-12-03,07:09:59
#CBE,https://t.me/tikvahethiopia/74556,347054,2022-11-03,16:07:35
#CBE,https://t.me/tikvahethiopia/73379,267421,2022-08-30,11:13:05
#CBE,https://t.me/tikvahethiopia/70383,310313,2022-05-19,13:47:14
#CBE,https://t.me/tikvahethiopia/69433,246292,2022-04-14,08:51:37
,https://t.me/tikvahethiopia/68766,238419,2022-03-21,15:39:03
,https://t.me/tikvahethiopia/68651,249721,2022-03-17,13:43:25
#CBE,https://t.me/tikvahethiopia/68513,344488,2022-03-11,12:18:56
#CBE,https://t.me/tikvahethiopia/68494,268886,2022-03-11,07:15:04
#CBE,https://t.me/tikvahethiopia/68340,286319,2022-03-05,18:20:43
,https://t.me/tikvahethiopia/68259,259464,2022-03-03,14:30:58
,https://t.me/tikvahethiopia/68037,245640,2022-02-24,13:11:08
,https://t.me/tikvahethiopia/67831,218431,2022-02-17,11:23:06
,https://t.me/tikvahethiopia/67371,212359,2022-02-03,12:10:22
,https://t.me/tikvahethiopia/66803,206908,2022-01-20,13:21:23
,https://t.me/tikvahethiopia/66171,207997,2021-12-30,12:16:59
,https://t.me/tikvahethiopia/65938,213800,2021-12-23,12:13:26
,https://t.me/tikvahethiopia/65688,213325,2021-12-16,13:57:47
,https://t.me/tikvahethiopia/64742,226499,2021-11-19,06:52:47
,https://t.me/tikvahethiopia/62116,289503,2021-08-25,14:26:02
#CBE,https://t.me/tikvahethiopia/47963,268504,2020-03-24,15:49:04
,https://t.me/tikvahethiopia/47007,129967,2020-03-08,14:05:19
,https://t.me/tikvahethiopia/45122,121968,2020-01-26,09:03:29
#CBE,https://t.me/tikvahethiopia/43705,142148,2019-12-24,16:21:04
#CBE,https://t.me/tikvahethiopia/43525,117170,2019-12-19,18:02:58
#ABAY,https://t.me/tikvahethiopia/43095,117952,2019-12-05,08:52:46
#CBE,https://t.me/tikvahethiopia/42058,96575,2019-11-06,05:40:18
#CBE,https://t.me/tikvahethiopia/41743,105876,2019-10-29,13:29:38
#CBE,https://t.me/tikvahethiopia/40645,112801,2019-10-10,17:11:18
#CBE,https://t.me/tikvahethiopia/38844,96493,2019-09-10,16:23:14
#CBE,https://t.me/tikvahethiopia/38564,82916,2019-09-07,10:08:37
#CBE,https://t.me/tikvahethiopia/37376,79009,2019-08-21,14:42:20
#CBE,https://t.me/tikvahethiopia/36184,83490,2019-08-04,11:10:14
#CBE,https://t.me/tikvahethiopia/35824,54699,2019-07-29,11:51:48
#bank,https://t.me/tikvahethiopia/22616,52417,2019-01-13,17:13:50
